Symbol,TradePrice,TradeVolume
GEWQ .Q,0.25,16
GEWQ .X,0.25,84
GEWQ .A,0.25,16
GEWQ .W,0.25,100
GEWQ .A,0.25,84
GEWQ .B,0.25,100
GEWQ .X,0.25,100
GCZQ .W,1.30,9
GEWQ .N,0.25,10
GEWQ .N,0.25,20
GEWQ .N,0.25,4
GEWQ .N,0.25,50
GEWQ .X,0.25,16
GOPD .A,1.10,2
GEWD .X,0.10,174
GOPQ .W,9.50,1
GOPP .Q,0.61,10
GOPQ .Y,4.32,1
GOPQ .Y,6.42,1
GOPQ .Y,2.75,1
GOPQ .Y,2.75,1
GEE .X,0.25,100
GPYD .Q,26.45,4
GPYG .N,7.80,10
GEWD .X,0.96,25
GOPP .X,0.10,10
GEWQ .Y,0.25,100
GCZP .W,0.71,2
GEWD .W,0.10,10
GOPQ .Y,2.75,1
GEWD .X,0.10,76
GOPQ .Y,9.70,3
GEWD .X,0.11,18
GEWD .W,0.11,11
GEWD .Y,0.11,11
GCZP .N,1.59,5
GCZP .N,2.58,10
GOPQ .Y,2.75,6
GOPP .A,24.00,1
GOPQ .Y,2.75,1
GOPD .Q,0.14,10
GOPP .Y,0.76,2
GOPP .Y,0.12,1
GOPP .Y,5.02,1
GPYP .Q,0.24,4
GOPP .Q,5.10,2
GOPQ .W,6.50,1
GOPP .Y,0.76,4
GOPP .Y,0.12,2
GOPP .Y,5.02,2
GOPP .Q,0.10,2
GOPP .B,0.75,4
GPYP .W,0.24,10
GEWQ .A,0.66,4
GOPE .W,20.00,6
GOPE .W,20.00,4
GEWU .Y,1.38,20
GEWI .Y,1.21,20
GMUE .A,0.65,2
GOPD .W,0.05,1
GPYP .X,0.24,1
GOPI .W,26.80,1
GOPD .B,0.15,9
GOPD .B,0.15,1
GOPP .A,0.70,4
GPYQ .X,2.16,5
GOPD .A,16.00,2
GED .W,0.01,6
GOPD .Q,6.97,1
GEE .X,0.25,50
GEWD .Y,0.12,14
GOPQ .W,18.20,1
GQRG .Y,1.50,1
GPYE .Y,4.50,5
GEWD .N,0.96,10
GEWD .W,0.11,35
GOPD .A,1.05,10
GMEE .A,2.55,1
GOPI .Y,27.30,3
GNKD .Y,0.20,1
GDXQ .A,0.74,6
GDXQ .A,0.74,4
GOPE .X,7.90,4
GEWP .N,0.16,1
GEWU .X,0.17,161
GEWU .N,0.17,26
GEWU .N,0.17,9
GOPP .Q,0.15,1
GOPD .A,16.60,1
GOPF .A,9.60,5
GCIE .Y,1.00,25
GOPE .X,20.30,5
GOPI .W,36.20,10
GPYQ .Q,5.38,1
GEWE .W,0.59,10
